,BD,D,C,L,Z1,Z2,Z3,Z4,Z5,WA,T,S,K,GBP,FPV,CU,A,SS
1208,2.18,17.5,26.7,70.5,165.8214308,101.5214302,99.94285774,200.157147,170.1392877,121.9802625,74.6321422,136.7295666,113.0000003,1303.87531,1638.466675,54,291.6857169,312.0872258
1209,2.15,18,28,69.5,165.2500033,100.7607158,100.4571449,199.8178613,170.5178593,149.9200892,81.5714283,137.3260705,140.1571437,1343.006744,2077.133301,62.35714286,316.5607158,355.0379551
1210,2.15,18.6,27,65,163.7857165,80.03928838,79.97857366,208.1357149,160.1000034,105.9359338,69.18214335,138.3609766,107.0714283,1092.792581,1528.800049,52,271.9624993,320.0422494
1211,2.2,18.5,26.5,69.5,162.5928579,79.9357169,80.16071647,197.9964311,160.2607182,124.9228687,76.98928615,139.1998825,127.8571431,1196.116773,1857.800049,55,298.81964,343.0444707
1212,2.2,17.7,26.5,69.5,162.5000022,80.06071636,79.81785965,203.8035742,160.0035766,99.95344271,70.91428593,140.7696849,108.5499998,1094.686319,1528.800049,56,278.4214292,315.958883
1213,2.2,17.5,26,70,165.9285742,80.04643086,79.94643075,207.5821468,160.0428619,99.88673864,70.91785758,140.4758617,108.3142858,1074.911652,1528.800049,56,278.3214264,315.9332221
1214,2.2,18.3,27.6,70.5,167.8214318,79.91786003,79.91785949,196.6000007,159.8714327,97.10046932,74.83928599,139.2246252,107.1714292,1125.26971,1528.800049,55,291.9785723,294.9486356
1215,2.2,17.9,27.2,70.8,176.771431,79.98928806,79.85000256,202.4178592,159.9821472,158.2379074,74.96428571,136.1676325,139.471429,1244.011688,2077.133301,65,292.583931,385.1098775
1216,2.2,17.8,27.5,69,196.7214312,97.60714531,98.26785878,99.31785801,97.85357339,0.056976096,0,0,0,6.66E-38,0,57,0,0
1217,,,,,174.1285755,79.96786036,80.11071614,278.3107213,160.0714324,106.0457161,72.19285692,137.1797823,106.1571426,1235.795986,1528.800049,51,282.6357149,305.0495965
1218,2.2,18.5,26,68,173.9000043,80.03571674,80.02500262,288.9071481,160.1964308,155.9560808,79.53214291,137.3541025,140.5607136,1331.049251,2077.133301,62,306.8125033,370.1204213
1219,2.24,18.5,26,68,172.5428592,80.05000223,79.97143091,287.1178643,160.0571453,155.9317632,77.82857132,137.3418803,140.5428576,1348.375981,2077.133301,62,304.3053589,370.0594798
1220,2.2,18,26.8,67,172.8857182,80.00000245,80.01428904,296.610721,159.9892905,135.9512187,72.64642852,138.5424227,127.9428577,1297.882215,1857.800049,59,284.2303576,364.9464471
1221,2.21,17.6,27.7,67.9,174.1642903,80.03928838,80.0107163,303.9714366,160.0178615,137.071979,71.68214308,137.6696974,127.1999997,1298.702441,1857.800049,60,282.4642846,365.0362592
1222,2.23,17.7,25.1,66.8,176.235715,80.03214509,80.00357383,327.0714362,159.9464324,147.9023012,72.1321422,138.1038502,134.5535714,1305.388576,1967.466675,62,282.9999989,384.9527043
1223,2.21,18.1,26.3,67.2,175.2500038,80.01785932,80.02857426,318.9535828,160.0000044,159.1891267,71.75714302,137.4958175,140.8892844,1334.606903,2077.133301,64,281.5821424,405.0487606
1224,2.23,18.4,26,67,175.7928603,80.01071685,80.04285976,316.8285751,160.0321448,156.0130566,72.74285643,134.418517,137.5535725,1293.60025,2077.133301,64,284.4178565,390.0112
1225,2.2,18.5,28,71,176.4285736,80.05714607,79.94286047,321.3000052,160.007146,148.0044398,73.98571396,137.4108069,140.1214284,1273.442666,2077.133301,65,288.2910723,391.9390117
1226,2.2,18,27.2,68.5,180.9928578,79.93928828,79.93571636,328.6892885,159.9607179,147.9446863,73.63928495,137.0975325,139.8000003,1284.712258,2077.133301,66,287.9874987,391.9999553
1227,2.2,18.6,28.1,68.7,181.5714308,80.00714547,80.72143091,352.0892923,160.003576,150.9345409,77.82857186,137.9020675,140.7999998,1300.654188,2077.133301,61,302.3410699,373.0361982
1228,2.2,18.2,27.5,69,183.9571457,79.97500202,79.90357399,414.2464338,159.9821472,157.0017994,77.31785774,136.8632327,140.1142867,1317.680315,2077.133301,62,301.0160675,373.0778983
1229,2.2,18,27,69,181.521431,79.98571641,80.05714498,333.3107191,159.86429,157.8793722,75.23928561,136.5682248,139.875,1308.80028,2077.133301,63,293.5821413,385.1291188
1230,2.2,18.6,28.5,71,181.521431,79.98571641,80.05714498,333.3107191,159.86429,157.8793722,75.23928561,136.5682248,139.875,1308.80028,2077.133301,63,293.5821413,385.1291188
1231,2.2,17.9,26,67,180.985715,80.05357361,79.81428746,1000,159.99286,157.8578333,72.98928506,133.0511257,136.2749988,1166.33922,2077.133301,69,286.1214284,384.9879881
1232,2.2,17.5,27.5,66,172.6428599,80.01786014,80.46071625,189.8178596,159.9571462,158.0218108,73.49285698,139.4675696,142.8428568,1300.863953,2077.133301,60,287.4232145,401.0744553
1233,2.2,17.9,28.1,70.3,173.028577,79.97500202,80.06785938,185.3535745,160.2357178,157.9426008,71.57499967,135.8901923,139.1821431,1294.234432,2077.133301,67,281.0875026,401.1257771
1234,2.2,18.6,26,69,177.5428619,79.97857366,79.90357372,171.960719,160.0178615,120.067394,76.33928571,135.9940311,118.4392858,1309.210506,1748.133301,49,297.4767848,320.0647005
1235,2.2,17.9,27.8,66.2,177.5428619,79.97857366,79.90357372,171.960719,160.0178615,120.067394,76.33928571,135.9940311,118.4392858,1309.210506,1748.133301,49,297.4767848,320.0647005
1236,2.2,17.6,26.2,69.1,175.8071463,79.96071706,78.89643097,175.5214337,160.4607179,143.9785944,75.15714264,137.0199127,132.8321438,1323.721422,1959.683302,56.28571429,293.2357145,364.875885
1237,2.2,18,28,70,175.8071463,79.96071706,78.89643097,175.5214337,160.4607179,143.9785944,75.15714264,137.0199127,132.8321438,1323.721422,1959.683302,56.28571429,293.2357145,364.875885
1238,2.2,17.9,28.3,69.1,177.3428634,79.99285998,79.95357377,182.2178601,159.8821477,121.9239821,69.73928615,136.695822,112.971429,1278.252446,1638.466675,55,273.8107136,335.0637763
1239,2.25,18.5,28.4,69.5,177.3428634,79.99285998,79.95357377,182.2178601,159.8821477,121.9239821,69.73928615,136.695822,112.971429,1278.252446,1638.466675,55,273.8107136,335.0637763
1240,2.19,18,26.5,68,177.3428634,79.99285998,79.95357377,182.2178601,159.8821477,121.9239821,69.73928615,136.695822,112.971429,1278.252446,1638.466675,55,273.8107136,335.0637763
1241,2.2,17.5,28.5,69,172.2714277,79.97143064,82.81785938,181.5500036,159.9214325,155.018061,71.84642873,140.0078316,143.2142852,1310.247872,2077.133301,62,281.5482145,410.0302767
1242,2.18,17.5,28.3,69,173.7500054,75.25357315,76.63214493,162.8107174,151.7428613,138.4727579,51.85357111,120.6303169,82.32499974,1066.202166,1173.466691,58,218.4803568,318.932397
1243,2.2,18,28,69,183.571434,80.01071712,79.99285943,205.8750022,160.1821469,158.2948805,70.9964289,137.1598838,140.4892867,1264.979536,2077.133301,66,278.8857171,408.0832182
1244,2.2,18,26,67.9,182.2928614,79.93214553,80.00357355,205.0321475,160.0107177,139.9305115,67.53571483,137.5220108,127.25357,1216.12095,1857.800049,64,269.2178574,387.9294172
1245,2.2,18,27,67.5,182.2928614,79.93214553,80.00357355,205.0321475,160.0107177,139.9305115,67.53571483,137.5220108,127.25357,1216.12095,1857.800049,64,269.2178574,387.9294172
1246,2.2,18.5,27,69,182.5785757,80.08571679,79.92143113,204.9035754,162.3607172,154.1085276,70.28214264,139.9141748,143.0607142,1240.353507,2077.133301,66,275.8607123,419.8457554
1247,2.15,18,26.2,67,182.5785757,80.08571679,79.92143113,204.9035754,162.3607172,154.1085276,70.28214264,139.9141748,143.0607142,1240.353507,2077.133301,66,275.8607123,419.8457554
1248,2.18,18.2,26.5,67,184.4571462,79.99643108,79.87143108,205.0964317,161.4678585,154.110611,72.125,138.5718438,141.6821425,1275.201416,2077.133301,67,282.9214281,404.9653593
1249,2.24,17.2,25.4,66.7,176.1714298,80.06428773,81.6678584,203.7214312,160.0571453,136.9448253,75.05357116,137.7307707,127.264286,1279.589015,1857.800049,59,293.1196431,349.8768103
1250,2.22,17.3,251,66.3,175.5214315,79.96071679,79.97500256,205.0750051,160.0464314,136.9990223,74.97142901,137.6200556,127.160714,1283.621613,1857.800049,59,292.3517827,349.982666
1251,2.2,16.8,26,69,175.9285742,80.02143124,79.63214493,205.0464336,160.0285737,142.0302903,73.30357061,136.0083215,125.978572,1290.540118,1857.800049,60,287.1625017,355.0668237
1252,2.2,16.8,26,69,177.4785756,80.0178596,79.98214585,204.7964325,160.0142904,142.2359592,73.47142792,136.3749602,126.3249999,1289.101977,1857.800049,60,286.869642,355.0379573
1253,2.2,17.9,26.8,67.4,172.728575,79.94643075,79.63928849,205.2750032,160.0035755,142.0240353,74.38571467,138.3197714,128.1178581,1306.221588,1857.800049,60,290.5874983,355.0315399
1254,2.23,18,26.5,67.5,174.1357188,80.03214536,80.13571712,205.4178592,159.9857194,163.9160592,73.95357105,137.3911122,141.0999996,1329.515817,2077.133301,63,288.4178576,394.9510138
1255,2.2,17,26,66,171.0428581,80.02857317,79.9857175,204.7285767,159.9750028,148.6151962,70.41071456,137.188355,127.4249995,1319.177098,1857.800049,62,277.3392846,373.9952916
1256,2.28,18,26.5,68,171.0428581,80.02857317,79.9857175,204.7285767,159.9750028,148.6151962,70.41071456,137.188355,127.4249995,1319.177098,1857.800049,62,277.3392846,373.9952916
1257,2.27,17.5,26,67,168.0285754,80.01071712,79.95000267,204.9964349,160.0071466,148.0697566,70.69642912,137.6780995,127.9000004,1321.019884,1857.800049,62,278.4035721,374.0113297
1258,2.2,18.1,28.5,69.8,165.2000024,80.00357383,80.02500234,205.1000061,160.0071466,140.1563312,70.46428571,138.9731789,128.6000009,1311.876277,1857.800049,60,276.7874985,377.0682373
1259,2.2,17.6,26.5,70.1,161.8357162,80.01786014,80.07143102,204.9035764,160.0928606,141.9364886,69.9464283,138.5015471,128.285714,1322.046932,1857.800049,60,275.7446431,377.0297448
1260,2.29,17.6,26,67,162.942858,80.01071712,81.57857186,206.4571462,159.9964333,159.9833167,74.32142857,139.6062366,143.110715,1357.721353,2077.133301,60,289.6767829,396.7376894
1261,2.2,17.6,26.2,69.8,164.6071461,79.9892886,79.81785965,179.9642906,160.0000038,156.0151405,74.81071418,140.3791095,143.6500015,1359.310791,2077.133301,64,291.92322,395.9293485
1262,2.2,17.8,27.7,71,171.8999993,100.0428584,189.8750033,235.0035744,239.9928611,241.4410706,73.1821428,138.5093536,147.1142867,1392.377677,2077.133301,100,286.5982132,415.0117896
1263,2.2,18.5,26.6,71.9,178.4285736,100.0214302,190.0714302,235.1464304,240.0321475,261.966362,71.98928615,141.4676846,151.5678564,1405.29405,2077.133301,100,275.1232158,431.5569654
1264,2.2,18,27.7,69.6,167.4714296,80.05357361,80.07857295,189.5892879,160.0107188,152.8029409,72.30357116,138.6062502,141.6464272,1261.129647,2077.133301,67,283.3499974,404.9717767
1265,2.2,18,27,67.5,163.6642876,80.02857372,80.10357339,190.1464288,160.1214327,152.9398221,72.22857148,138.551124,141.5964285,1268.145765,2077.133301,67,283.1357138,404.9493234
1266,2.2,18,27.5,65.5,165.4714334,80.05714525,80.05714498,183.7857159,159.978575,151.6648075,72.51428577,139.0842825,142.0714286,1278.654702,2077.133301,65,283.6142872,405.0327236
1267,2.2,18.5,27,69,160.100005,80.05000196,80.02857399,180.0857195,160.0428603,151.8871542,75.44285747,140.0758231,143.0892857,1318.045977,2077.133301,64,294.6017859,390.0496924
1268,2.2,17.6,26.5,69,160.1357204,79.96785927,80.37857355,179.9821478,160.0642885,149.9722023,75.87857056,140.6315902,143.5321437,1311.898429,2077.133301,66,296.2571411,390.0817686
1269,2.2,18.6,27,68.5,158.5000011,80.0178596,80.15000289,180.0571458,159.964289,149.9256477,75.5678572,139.7796108,142.6607154,1315.639579,2077.133301,66,294.9160701,390.0112021
1270,2.2,18.5,28.5,70,164.6214316,79.95357432,79.96785927,182.8714305,160.017861,149.7151146,75.52857181,140.4694563,143.3571429,1260.472294,2077.133301,67,294.7107152,391.9742966
1271,2.2,17.5,27,66.5,173.9714323,80.02500234,80.0750024,181.050002,160.0607169,156.3028009,73.07499995,139.4549054,142.707143,1252.168413,2077.133301,67,286.2410714,403.0888715
1272,2.2,17,26,68,174.0000044,80.0071452,80.0071452,181.4750017,159.9714317,156.0137514,72.69999967,139.1714467,142.4178581,1274.595302,2077.133301,67,285.7642811,402.9349016
1273,2.18,18,28,69.5,165.9785723,79.92857443,79.94285965,179.9678606,160.007146,132.9578885,73.39285687,141.0283688,130.0571433,1243.652536,1857.800049,63,286.710713,365.972908
1274,2.2,18,27,69.5,159.321434,79.95357377,79.97857394,180.1321471,160.0142888,135.2251205,73.64642906,141.4754246,130.5821421,1253.345991,1857.800049,63,287.8964288,366.0113994
1275,,,,,164.7785743,80.02857399,80.03571647,180.0357186,160.0035755,137.0233421,73.73571423,140.9547909,130.2357164,1267.276655,1857.800049,65,288.8410677,364.9560656
1276,2.2,17.9,27.3,70.1,167.8428595,79.98928833,79.91071701,179.9714339,160.0392892,117.293632,75.85357176,137.8671096,113.6321427,1280.03237,1638.466675,54,295.5321437,310.1177216
1277,2.18,17.7,25.9,66.9,163.6285733,80.00000272,78.92500142,180.1142916,159.7785759,147.1247869,76.99999973,137.777432,127.9285714,1312.146489,1857.800049,59,299.5678558,342.9546563
1278,2.2,18.1,27.6,69.9,163.6285733,80.00000272,78.92500142,180.1142916,159.7785759,147.1247869,76.99999973,137.777432,127.9285714,1312.146489,1857.800049,59,299.5678558,342.9546563
1279,2.18,17.7,26.4,67,163.6285733,80.00000272,78.92500142,180.1142916,159.7785759,147.1247869,76.99999973,137.777432,127.9285714,1312.146489,1857.800049,59,299.5678558,342.9546563
1280,2.2,18.2,27.5,69,163.6285733,80.00000272,78.92500142,180.1142916,159.7785759,147.1247869,76.99999973,137.777432,127.9285714,1312.146489,1857.800049,59,299.5678558,342.9546563
1281,2.2,18,27.8,69.9,162.1428582,79.97857394,80.18928828,182.9714306,160.0571463,143.7979377,73.01071439,140.2908205,130.0642872,1297.189941,1857.800049,59,285.607145,367.9616601
1282,2.21,17.5,25,65,160.2857208,79.88571657,80.10714558,187.075004,160.0928617,114.7859884,67.52499907,141.9151028,110.3964293,1203.725555,1528.800049,57,266.5339301,337.918614
1283,2.2,18.2,27.5,66,168.321434,79.97143091,80.58928708,180.0892895,160.2357172,112.2019138,72.76071467,138.9480089,107.9000002,1246.253649,1528.800049,61,284.8678567,306.0086812
1284,2.2,18.4,27.5,71.1,172.1571421,80.05357361,79.92143086,180.1464321,160.0285754,110.9644203,72.78928539,139.0598864,107.9285714,1282.350111,1528.800049,57,284.8267888,305.9349016
1285,2.2,18.6,28.1,69.5,173.2285767,80.03571701,80.14643042,181.9928616,160.1785758,148.0280653,77.71785736,137.8797215,134.3357135,1326.275317,1967.466675,60,301.5821435,356.9208581
1286,2.2,17.9,28.3,68.3,173.2285767,80.03571701,80.14643042,181.9928616,160.1785758,148.0280653,77.71785736,137.8797215,134.3357135,1326.275317,1967.466675,60,301.5821435,356.9208581
1287,2.21,18.6,28,66,169.157147,79.96428871,79.98571668,180.0071477,160.0750035,155.9720612,74.72500065,138.9054053,142.1464282,1332.230421,2077.133301,64,292.8071453,387.9197976
1288,2.2,18.6,28,67,166.4357153,79.99285943,80.03571592,179.907147,160.0607169,156.3375429,75.11785752,139.5555137,142.8071431,1328.000889,2077.133301,64,294.3321446,387.8011126
1289,1.2,18.7,27.6,70.1,171.5857141,79.98214476,80.00000272,180.2857165,160.017862,144.9048026,71.19642857,137.3434437,127.396428,1331.739886,1857.800049,58,279.7571422,367.9263763
1290,2.2,17.9,23.5,70.6,173.4714345,80.000003,80.64285878,178.382146,159.9714323,142.9259257,73.36071314,139.6991256,129.4535713,1281.456735,1857.800049,60.28571429,285.7303576,366.4412231
1291,2.2,18.1,26.9,70.2,171.8142847,80.02500289,80.000003,184.6142894,160.1964318,114.8916024,66.76428522,138.7058956,107.9107148,1170.063045,1528.800049,55,263.7178563,335.0252849
1292,2.2,18,26,68,169.8142896,80.00357355,79.9464313,185.5321475,159.9535746,145.9797053,66.07142884,138.5056049,124.714286,1270.104771,1791.216666,63.46428571,262.0214299,390.3351757
1293,2.19,17.8,28.2,69.3,169.4285763,79.98214504,80.1857169,179.878576,160.0642902,111.9816524,71.60357121,138.4548334,107.5214285,1260.654615,1528.800049,52,281.0535703,309.9669582
1294,2.19,18.3,27.4,69.3,174.2857192,80.064288,77.20714406,180.3071453,159.98929,145.2383216,70.67500033,136.9736023,127.0607134,1326.198443,1857.800049,60,277.5589305,369.9311676
1295,2.2,17.5,27,66,140.2714304,69.85714449,70.6678603,71.53928702,71.092859,0.035436352,0,0,0,6.64E-38,0,69,0,0
1296,2.2,17.8,27.8,67.1,178.5571442,79.95357377,77.96785954,181.0107182,159.9928605,142.0997718,71.52500016,135.4215655,125.4285709,1322.917742,1857.800049,55,280.7089277,362.0659648
1297,2.2,18.3,28.1,66.6,175.2500049,80.01071685,79.94285992,181.1321455,159.9321469,166.0922688,72.36428588,134.9340744,138.6964286,1346.575326,2077.133301,60,283.4767848,395.0279966
1298,2.2,18,29,68.2,170.6285738,80.0250018,74.7071446,181.8642878,158.5321459,127.3311517,64.58214228,134.3192259,105.2464281,1256.617759,1528.800049,48.75,256.1232153,337.0397034
1299,2.2,18,28.4,67,170.6285738,80.0250018,74.7071446,181.8642878,158.5321459,127.3311517,64.58214228,134.3192259,105.2464281,1256.617759,1528.800049,48.75,256.1232153,337.0397034
1300,2.2,18,26.5,67,166.9357136,80.03571728,80.02500262,187.7785754,160.017861,164.7220617,71.75714275,137.8982195,141.6714287,1338.125183,2077.133301,67,280.8892844,407.0471442
1301,2,18,26.5,68,167.2999998,79.98214558,80.03928811,187.7071457,160.0178604,165.7886265,71.48214258,138.3272661,142.1821436,1332.815299,2077.133301,67,280.0339268,410.0174462
1302,2.18,18.4,27,66,171.6785731,93.25000245,122.5464298,416.7142944,370.8071474,140.0319557,64.06428582,117.6887057,98.22500065,980.326501,1638.466675,58,255.298215,316.9276025
1303,2.2,17.4,28.5,66,171.6785731,93.25000245,122.5464298,416.7142944,370.8071474,140.0319557,64.06428582,117.6887057,98.22500065,980.326501,1638.466675,58,255.298215,316.9276025
1304,2.18,18.4,27,66,171.6785731,93.25000245,122.5464298,416.7142944,370.8071474,140.0319557,64.06428582,117.6887057,98.22500065,980.326501,1638.466675,58,255.298215,316.9276025
1305,2.2,17.9,26.5,68,165.7857176,79.90000207,71.82500131,177.535717,157.9357174,150.0236184,77.85357121,135.8671112,126.3392854,1341.390063,1857.800049,64.60714286,302.7017855,335.0028316
1306,2.18,18.4,27,66,164.6142878,79.97500283,80.01071685,188.2250034,159.9964333,164.9089726,71.63571412,138.5841124,142.3821449,1297.743408,2077.133301,65.42857143,280.6196442,409.8987601
1307,2.17,18,26.5,67.5,170.3785749,79.92500278,80.22500256,179.9500046,160.3321468,156.4778993,78.58571407,138.961495,142.2107152,1295.73373,2077.133301,58.57142857,304.8749989,373.0329917
1308,2.1,17.9,29.5,68.4,169.0428614,80.0178596,80.05714525,181.007146,159.98929,119.3795125,72.70357159,142.8173855,117.8714289,1226.979257,1638.466675,54.46428571,285.0660706,332.9916262
1309,2.2,17.9,26,66.5,168.4071497,79.98928806,78.93928664,184.0250026,159.9357185,162.0309841,74.1428566,140.4111546,144.071428,1284.348794,2077.133301,64,289.0767866,401.7993916
1310,2.2,18,26.2,69,168.4071497,79.98928806,78.93928664,184.0250026,159.9357185,162.0309841,74.1428566,140.4111546,144.071428,1284.348794,2077.133301,64,289.0767866,401.7993916
1311,2.23,18,26,66,167.9785756,79.95357459,80.01428822,189.2107179,160.1964329,111.8920195,65.56071418,141.3720681,109.7785715,1182.99299,1528.800049,58,259.7642844,345.9794835
1312,2.16,18,26.5,66.5,169.5714308,80.02143124,80.01428849,197.8500045,159.9928616,135.1069979,67.5142855,141.5739517,127.4750004,1216.073892,1803.199951,62.32142857,266.5696466,389.9887477
1313,2.2,18.2,26.5,68,169.5714308,80.02143124,80.01428849,197.8500045,159.9928616,135.1069979,67.5142855,141.5739517,127.4750004,1216.073892,1803.199951,62.32142857,266.5696466,389.9887477
1314,2.2,18,26.5,68,173.0428619,80.01428877,80.0071452,193.3642878,159.807148,133.2142814,68.65357127,141.1813861,127.6607135,1222.650508,1816.783334,62.03571429,270.658929,383.9102031
1315,2.2,18.2,27.5,69,173.0428619,80.01428877,80.0071452,193.3642878,159.807148,133.2142814,68.65357127,141.1813861,127.6607135,1222.650508,1816.783334,62.03571429,270.658929,383.9102031
1316,2.2,18.1,26.9,7,177.2928625,79.96071679,80.03214591,183.8392873,159.8892915,131.0033308,71.02142852,137.9395757,123.953571,1261.661647,1803.199951,58,278.6714292,359.9200232
1317,2.2,17.9,26.7,70.5,175.1142905,80.00714602,79.98571614,185.1500037,159.921433,132.0323748,71.20357159,138.3130531,124.3464282,1265.819911,1803.199951,58,279.7982145,360.0675812
1318,2.2,18.9,27.2,70.5,171.8357162,97.28214482,189.3714327,286.1821496,258.1321477,219.6914869,35.35357122,86.94936939,64.73214237,759.6498923,941.5666874,100,174.578571,342.8199299
1319,2.2,18.2,26.5,71,177.3428612,99.93214471,190.0000033,235.2321439,239.9821472,259.9499653,68.5678572,134.7186683,144.2178568,1275.402466,2077.133301,100,269.6749998,434.8801139
1320,2.2,2.2,17.8,27.4,177.1642897,79.97143119,82.87857246,178.9250047,155.7607166,133.8785389,75.15714237,141.0210827,130.1035701,1255.555437,1857.800049,58,292.8875002,358.056366
1321,2.2,18.1,28,70.5,175.8214313,80.00714547,79.15000153,182.4928594,155.9607179,135.0715615,74.9642849,140.6344468,129.817858,1287.569231,1857.800049,58,292.4803543,357.9505125
1322,2.2,18.5,29.1,69,171.3642867,80.00357383,80.08928789,187.953574,152.0892868,115.8511633,70.28571456,139.2518425,114.7071424,1254.469827,1638.466675,54,276.7803552,335.7213527
1323,2.2,18.4,27,67.7,163.6428593,79.91785894,79.94285965,179.2035735,150.1000034,109.1036641,67.73214231,139.662826,108.2678569,1189.691406,1528.800049,52,267.517855,329.8962173
1324,2.2,18.4,27,67.7,164.7928603,79.98928779,80.04285921,175.6392899,150.0178599,124.9145314,71.26428577,140.0153749,122.2571433,1243.112322,1748.133301,55,278.9517866,355.1117314
1325,2.21,18,27,66,158.8571461,81.06428691,80.10000256,178.5392914,151.2892876,104.8916032,69.74642944,140.1651012,108.3999999,1221.417794,1528.800049,55,274.3839286,320.0262092
1326,2.2,17.8,26,70,157.5571453,79.92143059,80.00357437,186.9000037,149.9428596,152.9558024,72.49285698,141.2312524,144.3321419,1295.019505,2077.133301,62,283.9446422,410.0527289
1327,2.2,17.9,26,67,154.1500021,80.00714466,79.97500283,180.2214312,146.2071462,110.1493846,65.2357145,140.7172585,109.160714,1213.127023,1528.800049,53.10714286,258.8535734,344.8985083
1328,2.2,17.6,29.5,66,149.6571459,79.61071696,80.07857459,187.9928589,150.1571459,106.867006,67.72499984,142.4398973,110.2785715,1215.991673,1528.800049,52,267.2607106,335.2049168
1329,2.2,17.6,29.5,68,153.9071454,79.88214547,79.9321458,185.6035739,150.0142893,108.0940759,67.68571472,141.2890451,109.4607143,1211.377999,1528.800049,52,266.6821409,334.9835859
1330,2.2,18.5,28.2,69.3,158.2500005,80.03571619,80.00000191,188.0357154,150.5357192,132.9293992,71.78214291,141.2721225,130.2749988,1281.712773,1857.800049,60,281.4035688,374.8998544
1331,2.2,18.6,27.5,67.1,150.2142901,79.85000202,80.15714482,186.1857169,149.9214314,143.0780945,73.80714308,141.2577482,137.3142858,1305.87762,1967.466675,62,288.2375009,385.0296871
1332,2.2,17.4,28,66,147.828574,82.62500082,78.37500218,186.982145,150.4750028,112.995409,66.24285643,142.5787501,110.7821426,1214.390032,1528.800049,56,262.4017857,344.9819063
1333,2.2,17.8,28.5,66,147.1071467,79.4500024,78.19643021,179.5000022,150.0321459,112.9731753,66.30714362,142.6026682,110.8071423,1219.952105,1528.800049,56,262.3160706,344.9626596
1334,2.21,17.7,26,67,144.9999995,80.10714504,79.57857404,183.3964321,150.035717,112.0441875,67.69999967,140.9213431,109.4357136,1236.869633,1528.800049,54,267.3839253,333.9892055
1335,2.2,18.6,26.8,66.5,148.521431,79.91428757,79.92857415,177.9428607,150.1678603,158.9237012,77.33214297,140.3234542,143.7821432,1341.59552,2077.133301,62,300.9053585,385.1162905
1336,2.2,18.6,26.8,66.5,148.521431,79.91428757,79.92857415,177.9428607,150.1678603,158.9237012,77.33214297,140.3234542,143.7821432,1341.59552,2077.133301,62,300.9053585,385.1162905
1337,2.2,18.5,29.2,69.3,152.5000054,79.92857361,78.60714476,176.1500026,150.4964311,160.9741462,76.98571369,140.1256011,143.7142857,1346.54786,2077.133301,63,300.4517866,385.1451601
1338,2.2,17.9,27.5,70.8,152.1785725,79.95714487,79.76428768,174.3750022,150.8000036,157.850884,77.61785698,141.0331595,144.4500019,1347.068883,2077.133301,63,301.9232145,384.88534
1339,2.2,18.6,29,67.5,151.5571474,80.21785927,80.07143102,175.3035758,150.4607173,157.0205612,76.49285671,141.3624693,144.724999,1345.830257,2077.133301,61,298.1267875,389.8828964
1340,2.2,18.4,29,67.8,152.0571431,100.1642865,112.7892876,179.9857178,200.046433,106.1026911,74.96071407,142.8697548,110.5607147,1187.793405,1600.199951,51,292.7535706,304.9212908
1341,2.2,18.4,28,67,147.3142913,80.13571657,80.03214509,192.3000025,160.3357168,126.9135576,72.35000065,146.8342688,128.3464296,1214.666591,1799.93335,57,283.6803567,364.9592721
1342,2.9,18,28.5,69.3,149.814288,80.01786014,79.71785872,186.0392892,159.1000034,104.9332929,72.82857132,148.409226,114.7714288,1196.27301,1600.199951,52,285.4749996,325.0494254
1343,22,18.5,29,12,149.814288,80.01786014,79.71785872,186.0392892,159.1000034,104.9332929,72.82857132,148.409226,114.7714288,1196.27301,1600.199951,52,285.4749996,325.0494254
1344,2.2,18.3,27.9,70.5,153.0714291,79.99643108,80.04643168,189.2178595,159.9678606,135.0208408,75.51428631,144.8950168,133.7428556,1257.843571,1899.800049,58,292.1625028,370.0915484
1345,2.2,18.2,27.6,70.4,148.7000019,79.16428566,79.53928729,191.8857182,159.978575,135.7608343,74.1428566,145.7732103,134.625,1258.976789,1899.800049,57,289.8732147,374.9608002
1346,2.19,18.9,28.2,70.5,148.7000019,79.16428566,79.53928729,191.8857182,159.978575,135.7608343,74.1428566,145.7732103,134.625,1258.976789,1899.800049,57,289.8732147,374.9608002
1347,2.15,18,29.5,7,140.4000015,79.23928751,80.12142972,184.9642879,159.9892905,127.1067211,72.82499995,146.3335097,121.2750002,1253.237675,1700.06665,51,284.6571437,343.9778922
1348,2.2,17.9,27.3,71.1,149.3285724,79.66428838,79.91071701,187.7000024,160.5642875,124.9701178,72.20000022,145.3479135,120.3178572,1252.823874,1700.06665,51,283.2785732,343.9618552
1349,2.2,18,27.5,67.5,158.5857168,80.09285927,79.9464313,179.9285763,160.142861,125.1848199,71.78571401,144.9235611,119.9750001,1268.469238,1700.06665,51,281.7821426,344.0484608
1350,2.2,18.6,28,68,151.4000053,79.34285791,80.21785954,180.5178604,159.9107186,146.0234789,73.51785742,142.3470072,132.110715,1309.260088,1899.800049,53,286.8946435,371.0089547
1351,2.2,18.5,29,72,147.9142881,79.20714297,79.92857361,178.5607158,160.1500043,121.9371831,73.62857165,145.2040356,120.0035716,1283.553986,1700.06665,50,288.0196435,336.0742035
1352,2.15,17.8,29.4,70,140.5714302,78.61428751,79.90357399,180.8178596,160.2214323,108.9605291,73.36785671,147.693361,114.4785718,1265.054147,1600.199951,47,287.1071429,322.335737
